"Residenza","Totali","Donne","Uomini"
"Friuli-Venezia Giulia",6,5,1
"Piemonte",1,1,0
"Sardegna",1,0,1
"Calabria",1,1,0
"Puglia",2,0,2
"Molise",1,1,0
"Emilia-Romagna",1,1,0
"Abruzzo",1,0,1
"Provincia di Bolzano",1,1,0
"Campania",1,1,0
"Toscana",1,0,1
"Lazio",2,1,1
"Umbria",1,0,1
"Lombardia",1,0,1
"Sicilia",1,0,1
